sample path, elapsed time (ms), memory usage (KB)
Samples/CMDS/CMDS(defs).aps, 799, 4694318
Samples/CMDS/CMDS(end).aps, 739, 4694317
Samples/TYPE/TYPE.aps, 706, 4694312
Samples/TYPE/TYPES.aps, 706, 4694313
Samples/ER(2023_3).aps, 782, 4694313
Samples/prog7.aps, 714, 4694308
Samples/DEF/DEF(proc).aps, 713, 4694316
Samples/DEF/DEF(VAR).aps, 696, 4694315
Samples/DEF/DEF(const).aps, 703, 4694317
Samples/DEF/DEF(ProcRec).aps, 713, 4694319
Samples/DEF/DEF(funRec).aps, 744, 4694318
Samples/DEF/DEF(fun).aps, 728, 4694315
Samples/EXPR/EXPR(if_1).aps, 704, 4694318
Samples/EXPR/EXPR(or_10).aps, 716, 4694319
Samples/EXPR/EXPR(app_mul).aps, 703, 4694321
Samples/EXPR/EXPR(app_f).aps, 717, 4694319
Samples/EXPR/EXPR(not_0).aps, 708, 4694319
Samples/EXPR/EXPR(if_0).aps, 698, 4694318
Samples/EXPR/EXPR(lt_0).aps, 706, 4694318
Samples/EXPR/EXPR(num).aps, 703, 4694317
Samples/EXPR/EXPR(and_01).aps, 700, 4694320
Samples/EXPR/EXPR(eq_1).aps, 708, 4694318
Samples/EXPR/EXPR(app_sub).aps, 702, 4694321
Samples/EXPR/EXPR(and_11).aps, 703, 4694320
Samples/EXPR/EXPR(app_add).aps, 714, 4694321
Samples/EXPR/EXPR(app_div).aps, 710, 4694321
Samples/EXPR/EXPR(or_01).aps, 723, 4694319
Samples/EXPR/EXPR(not_1).aps, 708, 4694319
Samples/EXPR/EXPR(or_11).aps, 707, 4694319
Samples/EXPR/EXPR(or_00).aps, 702, 4694319
Samples/EXPR/EXPR(id).aps, 699, 4694316
Samples/EXPR/EXPR(and_10).aps, 721, 4694320
Samples/EXPR/EXPR(lt_1).aps, 724, 4694318
Samples/EXPR/EXPR(and_00).aps, 705, 4694320
Samples/EXPR/EXPR(eq_0).aps, 708, 4694318
Samples/EXPR/EXPR(abs).aps, 741, 4694317
Samples/APS2/bigVect.aps, 729, 4694315
Samples/APS2/vect.aps, 724, 4694312
Samples/APS2/ER2_2023.aps, 724, 4694316
Samples/APS2/invertTab.aps, 722, 4694317
Samples/APS2/matrix.aps, 727, 4694314
Samples/APS2/copyVect.aps, 750, 4694316
Samples/APS2/isPalindrome.aps, 725, 4694320
Samples/APS2/maxVec.aps, 721, 4694314
Samples/APS2/3Dtensor.aps, 701, 4694316
Samples/prog9.aps, 719, 4694308
Samples/prog10.aps, 729, 4694309
Samples/ER(2023_1).aps, 726, 4694313
Samples/ER(2024_1).aps, 709, 4694313
Samples/STAT/STAT(if).aps, 706, 4694316
Samples/STAT/STAT(call-aps1a).aps, 712, 4694324
Samples/STAT/STAT(while).aps, 712, 4694319
Samples/STAT/STAT(call).aps, 707, 4694318
Samples/STAT/STAT(set).aps, 710, 4694317
Samples/STAT/STAT(echo).aps, 711, 4694318
Samples/prog1.aps, 701, 4694308
Samples/prog6.aps, 713, 4694308
Samples/ER(2023_2).aps, 713, 4694313
Samples/prog8.aps, 719, 4694308
Samples/ER(2024_2).aps, 716, 4694313
Samples/prog4.aps, 711, 4694308
Samples/prog3.aps, 698, 4694308
Samples/prog0.aps, 712, 4694308
Samples/APS0/isEven.aps, 736, 4694314
Samples/APS0/fact.aps, 738, 4694312
Samples/APS0/pgcd.aps, 726, 4694312
Samples/APS0/fib.aps, 759, 4694311
Samples/APS0/pow.aps, 712, 4694311
Samples/ARG/ARGS.aps, 770, 4694311
Samples/APS1/set.aps, 740, 4694311
Samples/APS1/proc.aps, 712, 4694312
Samples/APS1/while.aps, 703, 4694313
Samples/prog2.aps, 713, 4694308
Samples/prog5.aps, 726, 4694308
